"productName","rating","author","date","title","body","verifiedBuyer","upvotes","downvotes"
"Lactation Brownies","5","Alexeia D.","08/10/2024","Amazing!!!","My milk supply was basically nonexistent until I got these brownies. They were a lifesaver!!",true,"1","0"
"Lady Leche","5","Heather W.","08/10/2024","Love this!","I'm an underproducer. This product has enhanced my supply and allowed me to nurse my now 12-month old for his first full year of life!",true,"7","4"
"Emergency Brownies","5","Kirrin P.","08/10/2024","Very sweet, but good.","I am not a big chocolate person so these are a bit too sweet for me. With this said, I have noticed a slight increase in production, but more have noticed thicker milk. Purchased another box to keep on hand but will probably reduce to every 2-3 days, with a cookie on the off days.",true,"7","3"
"Lactation Brownies","4","T.S.","08/10/2024","No Title","👍🏽",true,"1","0"
"Lady Leche","5","Shai'Briea F.","08/10/2024","Fatty","Love how it makes my milk extra fatty",true,"2","0"
"Lady Leche","5","Kirrin P.","08/09/2024","Creamier milk","I had a lot going on when I ordered this, so I do believe I had a lot of unconscious stress.
My stress level has gone down so I don’t know if it’s that or this product that is helping. Likely a bit of both.
I am typically getting between 1-2 ounces more per pump session, but the big thing I am noticing is that my milk is far more creamy. I have reordered and will be interested to see what this does for me over a longer duration of time.",true,"6","3"
"Lactation Brownies","4","L.C.","08/09/2024","My milk supply increased!","Within two days of eating the brownies and caramel salted cookies I noticed not only an increase in my milk supply but my milk looked a little creamier as well! So glad to have found this product after struggling with a low milk supply. As a new mother I want to do everything I can to provide my daughter with enough breast milk per feed and Milky Mama has helped me stay on track!",true,"1","0"
"Peanut Butter Chocolate Chip Lactation Cookies","5","Rachel E.","08/09/2024","No Title","Delicious",true,"1","0"
"Emergency Brownies","4","Kaylynne T.","08/09/2024","No Title","Ok",true,"4","2"
"Lactation LeMOOnade - 7 Pack","5","Natasha M.","08/08/2024","Yum’","You can taste the natural ingredients in this, which takes a second to get used to but I mix mine with lemon water flavoring to make it take closer to lemonade. Helped with milk production a ton. Will be buying more",true,"0","0"
"Lactation Brownies","5","Natasha M.","08/08/2024","Love","These brownies taste great. Didn’t see a huge difference in milk production but this might work for someone else",true,"0","0"
"Emergency Brownies","5","K.C.","08/08/2024","Emerg Brownies","The brownies are really good. They were fresh and tasted like a homemade brownie. With the brownie and a cookie I noticed that my pumping did increase and went up an ounce and a half. I mainly just breast feed at the moment but like to pump a few times a day to have stock for a night bottle and public outings. Definitely will order more brownies when I get back to work.",false,"7","0"
"Lactation Brownies","1","K.B.","08/08/2024","Didn’t see a increase in my milk supply","The good news is they taste great but bad news is they did nothing for my milk supply",true,"2","0"
"Emergency Brownies","5","Shanice R.","08/08/2024","Best purchase EVERRRRR","This truly boosted my milk supply by 2oz each breast just after 2days of taking the emergency lactation brownies!!!!! Super impressed and will buy more! (PS- not to mention YUMMY! Highly recommend!!!!!)",true,"6","0"
"Milk Goddess","4","Curtrina L.","08/08/2024","Making Milk Thanks to This","This increased my bust size first. My chest grew in a matter of days. Then The milk increased right behind it. I went from barely being able to pump 2 ounces to 4 or more. As long as I drink my water with it and eat well, I have no issues with feeding baby.",true,"2","0"
"Lactation Brownies","5","Brittany M.","08/08/2024","These are great!","So I have been getting the lactation brownies for a couple months now at least and they are so tasty and actually work! So for me, I noticed a huge difference in the thickness of my milk. Before trying these, my milk was almost clear. Since eating the brownies, my milk is much creamier. I don't produce a whole lot so it matters to me that what I do make is packed with nutrition and I feel that these brownies are getting the job done for me! Thank you Milky Mama!",true,"0","0"
"Pumpin' Punch - 7 Pack","5","Marlee T.","08/08/2024","Amazing","10/10 recommend!",true,"0","0"
"Salted Caramel Lactation Cookies","4","Kaylee S.","08/08/2024","Tasty","These arrived just in time for my baby. First time mama here and I bought these on a whim to see if they would help. Been eating one a day since I came home from the hospital on the 22nd of July. Breastfeeding coach was shocked my milk came in on day 2. She originally told me 5-10 days. Not sure if the help is from these or not. But I enjoy the taste so I'll keep eating them.",true,"1","0"
"Salted Caramel Lactation Cookies","5","Jacquece C.","08/08/2024","No Title","Great",true,"0","0"
"Salted Caramel Lactation Cookies","5","Senandra R.","08/08/2024","No Title","My favorite!!!",true,"0","0"
"Emergency Brownies","5","C.K.","08/07/2024","Instant -- INSTANT -- milk production boost","Y'all I lost count of how many times people told me the trick to working out supply issues was just to get more calories and water. My baby was 99th percentile length/height alllll the way through pregnancy and breastfeeding, and they had the appetite to show for it.

These brownies would fill my **** in MINUTES.

These things single-handedly carried me through the early growth spurts where he would be drinking 4+oz every 1.5 hours.

Also, learn from my mistakes. I got a little testy at first because I was desperate and figured the ""don't take more than 1 a day so as to avoid engorgement"" warning was for ""other"" people who had less severe supply issues. Ha. Ha ha ha. Yeah. No. One a day is plenty for a steady supply. I absolutely got engorged after like 2 or 3 days of having 2 a day. Just take one a day and if you're still worried maybe have a cookie on top.

I ended up falling into a routine where I was able to keep up with my baby's intake just with the regular brownies and cookies, but I noticed my supply tanked when I would ovulate, so I mostly relied on these during those days to help jump-start my production again and get through them.

Also, I don't taste any herb-y-ness at all in these. They just taste like a rich chocolate brownie. Great texture, great everything. They taste and feel like a regular homemade brownie.",false,"20","5"
"Lactation Brownies","5","L.K.","08/07/2024","Creamy milk!","These taste pretty decent for lactation brownies and I have noticed my milk is creamier than before!",false,"0","0"
"Milky Melon - 7 Pack","5","Miriam N.","08/07/2024","Delicioso","Me encantaron la primera vez que los ordené no estaba muy segura del sabor pues compré otra marca y sabía muy mal como si estuviera tomando medicina pero los productos de Milky Mama son deliciosos",true,"0","0"
"Emergency Brownies","5","Latisha T.","08/07/2024","Always works!","I’m a litigating attorney and I recently went back to work and head dived right back into STRESS. That and my period coming back made my supply take a nose dive. I knew that ordering these would get me together! I took 2 a day for 3 days and was right back to producing more than enough. Thank you, Milky Mama! I was able to drop a pump and still get more than I was at each pump the week before. Thankfully!",true,"0","3"
"Emergency Brownies","5","Kristy","08/07/2024","Emergency brownies","I was hesitant to buy these but I’m so glad I did! I really saw an increase around day 5 or 6 of eating the brownies. Not only did they work but they actually taste pretty good too! I will definitely be buying more!",true,"1","0"
"Salted Caramel Lactation Cookies","5","Andrea P.","08/06/2024","Salted Caramel cookies","I just tried the salted caramel cookies and I really enjoyed them, the chunks of caramel made the cookies extremely satisfying🥰",true,"1","0"
"Mini Milky Sampler Pack","3","H.L.","08/06/2024","Tastes Good, Disappointed In ""Sampler"" Content","1. Supply - I think it helps a little. It didn't double my supply or anything, but a little boost.
2. Taste - tastes good. Not like straight herbs/supplements like some brands. The brownies taste like brownies. The cookies were a little dry/crumbly, but didn't taste terrible.
3. Being a sampler, I expected more variety. In my pack, I got the three flavors of drink, brownies, and 1 type of cookie. I definitely should have read better. I probably wouldn't have gotten it. I was wanting to try more than one cookie so I could pick what I like to order a full product(s) of. Again, not a bad product, just disappointed in the lack of ""samples"" of the cookies.",false,"9","1"
"Milky Melon - 7 Pack","5","C.V.C.","08/06/2024","AMAZING!","I absolutely love this!! It was super easy to make and tastes great! helped me to produce more and made my milk so much creamier!",false,"0","0"
"Lactation Brownies","4","Anonymous","08/06/2024","No Title","Pretty good",true,"0","0"
"Emergency Brownies","5","Ingrid I.","08/06/2024","No Title","Worth every penny",true,"0","0"
"Bestseller Bundle","5","Trinity W.","08/06/2024","Really helped","Tastes great and it works! Started pumping 30 oz a day after 3 days of use.",true,"1","0"
"Emergency Brownies","1","Heather F.","08/06/2024","Brownie purchase","Already struggle with decreased milk production so I was very hopeful to try these. Received them and they were very dry and hard.",true,"1","0"
"Lactation Brownies","5","K.F.","08/05/2024","LOVE THESE","I honestly look forward to eating these everyday because they taste so good! I alternate between these and the cookies + the “dairy duchess” daily and I’m pumping at least 1 oz. More per session with less than 2 weeks of use!!",false,"0","0"
"Emergency Brownies","1","Nikole T.","08/05/2024","doesn’t work","doesn’t work for me",true,"0","0"
"Peanut Butter Chocolate Chip Lactation Cookies","5","K.F.","08/05/2024","Tastes great!!","Honestly tastes really good- better than I expected! I’ve been eating these everyday alternating with the lactation brownies and using tbr “dairy dutchess” for close to 2 weeks now and I’m pumping at least 1 oz. More per session! Can’t wait to see results in 2 more weeks!",false,"1","0"
"Mini Milky Sampler Pack","5","Candice S.","08/05/2024","No Title","🥰",true,"0","0"
"Lactation Brownies","5","Michele S.","08/05/2024","No Title","They are good.",true,"0","0"
"Welcome Bundle","4","JessiB","08/05/2024","🙌🏻 saved the day!","I honestly enjoyed this sample pack! So much! I don’t really care for the lemonade but those oatmeal chocolate chip cookies are sooo so good 😋!",true,"0","0"
"Lady Leche","5","Jessica B.","08/05/2024","Amazing!","I am using a few milky mama supplements together and am getting 4-9.5 oz/pump session! Lady leche, pumping queen, melon lemonade/pumping punch, and emergency brownies! I can feed my big ol boy formula free and have a great stash already! He is 3 months old now eating 3oz every couple hours and I have almost 450 oz in the deep freeze. My first two I was only getting 1-2 oz per pump. Correct flange size, pump lubricant, proper hydration, milky mama, and a strict pump schedule and I’m so happy to say third time around- I’m finally rocking it! Mamas- nothing wrong with formula feeding at all- my 3 boys just spit up sooo much and get bad diaper rash no matter which formula we tried. My first 2, we ended up getting on cow milk very early. So I am delighted the success I’m having now I’m using milky mama products and understand flange sizes!!!",true,"14","0"
"Lady Leche","5","N.S.","08/05/2024","It works","I'm a mama of 3 kids and love to nurse all of 3, but I am a very low under supplier. I try everything till I give milky mama a try. Even do it took 2 wks to get to me lady Leche work for me my supply not just Doble it triple. I'm have thyroide achimoto and pcos and it works. I love it and I will be ordering again.",false,"5","0"
"Bestseller Bundle","1","Elcey K.","08/05/2024","No Title","I haven’t noticed a difference in my milk supply yet.",true,"0","2"
"Emergency Brownies","4","T.S.","08/05/2024","Emergency brownies","I haven’t seen a change in my milk supply but hopefully it will kick in soon. The brownies are tasty (a little dry) but they aren’t bad to get the job done.",true,"0","0"
"Pumping Queen","5","K.W.","08/05/2024","It’s in the name!","The name says it all, it does what it says it would !",false,"0","0"
