"rating","author","title","description"
"5","Samuel Axelrod","Plantar Facitis sucks","The title says it all. This cream has been helping for sure. I put it on after the gym and before sleep. It is definitely helping!"
"5","Customer","No Title","Works better than anything else we’ve tried."
"5","HENRY SCHULTE","So far, so good","I've got a heal spur and , I'm applying it twice a day and it's noticeably less painful, hoping it kills it all together!"
"5","Charles Parker","First time user","Hurt my shoulder and have been using this as part of my recovery."
"5","Eric DeJanvier","Amazing","Knees have been bad from almost 25 years of sports and crossfit couldn't be more happy. Wake up feeling great and a side note doesn't make the bed sheets smell at all like ice hot does will be a returning customer for sure
Thank You"
"5","Will","No Title","Greatest recover cream of all time"
"5","Vaughn Glover","Shoulder pain","I have used this product for two weeks now and have seen great results, Less pain,more normal mobility now"
"5","Cameron Saltus","What Relief","I have done physical Therapy, ice, heat, red light, all seem to help on such a minor scale. I purchased 27:17 and within days my should felt 40-60% better. I lifting weights with out struggle or pain. What relief this cream is to have with my recovery regiment."
"5","Jonathan Alberto","No Title","Good"
"5","Roderick","No Title","Amazing"
"5","craig","27:17","It's great...have noticed a big difference in the inflammation in my knee in the 2 weeks I have been using it!. usually I have pain and soreness after I get done playing basketball..but since I been using the cream barely any pain"
"5","Rob","Good so far","I have only been using it for a few days, however it seems to be helping. I have been struggling with elbow joint and tendon pain for months and it is already somewhat better."
"5","Dr Sam C","Chiropractor Approved - Our Patients Love 27:17!","We just started using 27:17 relief & recovery cream on our patients and the feedback has been very positive! Our patients already love the way it makes them feel and they like the smell of it too! We just started stocking it at our front desk so patients can grab and go and use it for at home use, on the golf course, sports related, after a work-out or exercise, over their arthritis, tendinitis, bursitis and much more! The ingredients are top notch! Highly recommend."
"2","Liz Spartveit","Just Over a Week In","I feel like I can't give a good review yet as I have only been using the product for just over a week. I don't think that's enough time to feel the full affects of the product."
"4","Michael Maresca","No Title","Relief & Recovery Cream"
"3","Lou fonda","Doesn't work on my pain in back and hip","I purchased this product to help in rehabilitating a back and sciatic nerve injury.
It really doesn't help this particular injury."
"5","Gabriel Maxwell","Smells nice.","On day 4/5 post torn meniscus and MCL, I’m in recovery - get back to working phase, with some swelling. I’ve not noticed any differences - it’s still early however."
"1","Nawar Alkawadri","Overhyped","Doesn’t really do anything , just good marketing"
"5","Jeremy Wayble","This product really helps","I believe that if you added a little cayenne pepper it would help speed up the healing process"
